"","Hour","Hour.circ","WD_60_mean","WS_60_mean","Tair_mean","RH_mean"
"1",1,0.261799387799149,4.8762783160672,8.91153333333333,22.8083333333333,80.1066666666667
"2",2,0.523598775598299,4.82065026963078,9.59608333333333,21.9583333333333,83.8
"3",3,0.785398163397448,4.99088456388793,10.373,21.45,87.1
"4",4,1.0471975511966,4.88412166461398,9.53076666666667,21.2766666666667,85.5166666666667
"5",5,1.30899693899575,5.00079429765262,8.98931666666667,21.1683333333333,83.0166666666667
"6",6,1.5707963267949,4.78057218566481,8.58998333333333,20.5333333333333,89.8166666666667
"7",7,1.83259571459405,4.6627391554596,11.0026,20.58,92.4666666666667
"8",8,2.0943951023932,4.64851234320372,13.1517333333333,20.94,86.5833333333333
"9",9,2.35619449019234,4.57665661976735,12.0366833333333,21.0116666666667,84.3666666666667
"10",10,2.61799387799149,4.57113530183604,12.9639833333333,21.3916666666667,78.575
"11",11,2.87979326579064,4.62525166464031,12.47545,22.275,69.165
"12",12,3.14159265358979,4.43819745183266,13.8840166666667,21.7983333333333,70.8583333333333
"13",13,3.40339204138894,4.38727538028722,13.8809,21.6183333333333,72.68
"14",14,3.66519142918809,4.37913662589517,13.8757166666667,20.855,82.2083333333333
"15",15,3.92699081698724,4.39512241848601,12.55115,20.355,86.8333333333333
"16",16,4.18879020478639,4.33756956924628,13.1112833333333,20.07,86.1
"17",17,4.45058959258554,4.35065919979666,11.89255,19.9466666666667,84.3666666666667
"18",18,4.71238898038469,4.3550043671498,10.5088666666667,19.8333333333333,80.6783333333333
"19",19,4.97418836818384,4.42161696749245,10.6406,19.9066666666667,77.445
"20",20,5.23598775598299,4.48270345943346,10.07945,19.6666666666667,78.3166666666667
"21",21,5.49778714378214,4.49724217985349,9.28698333333333,19.705,77.18
"22",22,5.75958653158129,4.46657668363804,8.42818333333333,19.1433333333333,87.115
"23",23,6.02138591938044,5.20828374712027,6.89825,18.4816666666667,92.75
"24",24,6.28318530717959,4.97747577978662,8.00081666666667,18.7383333333333,87.8666666666667
"25",1,0.261799387799149,4.52890146589715,9.46851666666667,18.47,93.4
"26",2,0.523598775598299,3.4346361048592,9.80563333333333,17.9616666666667,94.8833333333333
"27",3,0.785398163397448,3.2897696998117,9.38658333333333,16.8183333333333,95.4333333333333
"28",4,1.0471975511966,3.0048223563435,6.90655,16.9683333333333,91.7
"29",5,1.30899693899575,2.69537277566163,3.4702,16.93,88.0333333333333
"30",6,1.5707963267949,2.98819763951607,4.3532,17.0233333333333,80.33
"31",7,1.83259571459405,2.82506084983464,3.6157,16.1333333333333,83.245
"32",8,2.0943951023932,2.57645069797177,1.60348333333333,16.9816666666667,75.1216666666667
"33",9,2.35619449019234,2.90524699663273,3.43998333333333,17.5166666666667,66.255
"34",10,2.61799387799149,2.5174217530282,4.19281666666667,17.555,62.5283333333333
"35",11,2.87979326579064,2.34304549298347,5.18505,17.4383333333333,62.375
"36",12,3.14159265358979,2.65094033992164,5.52993333333333,17.5333333333333,60.2233333333333
"37",13,3.40339204138894,2.51859422641889,5.5205,17.875,56.5583333333333
"38",14,3.66519142918809,2.48243016826321,6.57878333333333,18.1383333333333,56.365
"39",15,3.92699081698724,2.17363221997981,7.59113333333333,18.15,58.1216666666667
"40",16,4.18879020478639,2.20883257285587,8.19375,17.905,59.8033333333333
"41",17,4.45058959258554,2.15966868524416,9.49546666666667,17.1183333333333,68.1583333333333
"42",18,4.71238898038469,1.89953524430236,8.49661666666667,16.4816666666667,68.985
"43",19,4.97418836818384,1.65934246045936,7.17416666666667,16.8283333333333,65.1383333333333
"44",20,5.23598775598299,1.64385461265806,6.2614,16.8716666666667,66.24
"45",21,5.49778714378214,1.89989994376219,7.74773333333333,16.4283333333333,70.5366666666667
"46",22,5.75958653158129,1.2964948650397,6.94181666666667,16.22,72.7633333333333
"47",23,6.02138591938044,1.15349603164524,8.3016,15.8566666666667,77.2716666666667
"48",24,6.28318530717959,1.3355926285655,7.8359,16.5266666666667,71.6783333333333
"49",1,0.261799387799149,1.28646448889736,8.68438333333333,16.485,73.53
"50",2,0.523598775598299,1.46215606131305,8.88143333333333,16.1933333333333,75.8733333333333
"51",3,0.785398163397448,1.50549793959128,7.60046666666667,16.3916666666667,75.785
"52",4,1.0471975511966,1.45467659677705,5.1506,16.3166666666667,76.4416666666667
"53",5,1.30899693899575,1.49469736144086,5.0865,16.3433333333333,76.4116666666667
"54",6,1.5707963267949,1.34358195403552,6.96121666666667,16.51,76.4833333333333
"55",7,1.83259571459405,1.47556078437786,8.59826666666667,15.8033333333333,91.2666666666667
"56",8,2.0943951023932,1.41160488296249,9.85955,17.2633333333333,74.0566666666667
"57",9,2.35619449019234,1.46706603060386,10.9662833333333,18.16,69.4766666666667
"58",10,2.61799387799149,1.4254786340506,9.59195,18.795,68.8416666666667
"59",11,2.87979326579064,1.46736674613686,9.29115,19.81,63.5966666666667
"60",12,3.14159265358979,1.48332579230247,9.19571666666667,20.8133333333333,59.09
"61",13,3.40339204138894,1.67479640300874,9.97261666666667,21.3466666666667,59.55
"62",14,3.66519142918809,1.82369372886259,11.7047833333333,21.07,65.635
"63",15,3.92699081698724,1.72943943126191,12.8831,20.895,68.7383333333333
"64",16,4.18879020478639,1.6997761944193,12.8810166666667,20.655,72.8
"65",17,4.45058959258554,1.73671859386624,13.1735166666667,20.3166666666667,76.1566666666667
"66",18,4.71238898038469,1.73090065114614,13.1144,19.6783333333333,80.9583333333333
"67",19,4.97418836818384,1.73090222891226,11.7141333333333,19.1016666666667,84.85
